fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"323",Ranau,,Indonesia,"1854"
"324",Suoh,"2024",Indonesia,"1000"
"325",Rajabasa,,Indonesia,"1281"
"326",Krakatau,"2023",Indonesia,"285"
"327",Pulosari,,Indonesia,"1324"
"328",Karang,,Indonesia,"1768"
"329",Perbakti-Gagak,"1939",Indonesia,"1726"
"330",Salak,"1938",Indonesia,"2218"
"331",Gede-Pangrango,"1957",Indonesia,"3026"
"332",Patuha,,Indonesia,"2422"
"333",Tangkuban Parahu,"2019",Indonesia,"2084"
"334",Papandayan,"2002",Indonesia,"2665"
"335",Kendang,,Indonesia,"2594"
"336",Tampomas,,Indonesia,"1690"
"337",Guntur,"1847",Indonesia,"2251"
"338",Galunggung,"1984",Indonesia,"2168"
"339",Talagabodas,,Indonesia,"2201"
"340",Ciremai,"1951",Indonesia,"3039"
"341",Slamet,"2014",Indonesia,"3428"
"342",Dieng Volcanic Complex,"2021",Indonesia,"2565"
"343",Sundoro,"1971",Indonesia,"3147"
"344",Sumbing,"1730",Indonesia,"3371"
"345",Telomoyo,,Indonesia,"1864"
"346",Ungaran,,Indonesia,"2033"
"347",Merbabu,"1797",Indonesia,"3118"
"348",Merapi,"2024",Indonesia,"2910"
"349",Lawu,"1885",Indonesia,"3265"
"350",Wilis,,Indonesia,"2563"
"351",Kawi-Butak,,Indonesia,"2651"
"352",Kelud,"2014",Indonesia,"1730"
"353",Penanggungan,,Indonesia,"1631"
"354",Arjuno-Welirang,"1952",Indonesia,"3343"
"355",Semeru,"2024",Indonesia,"3657"
"356",Tengger Caldera,"2023",Indonesia,"2329"
"357",Lamongan,"1898",Indonesia,"1641"
"358",Iyang-Argapura,,Indonesia,"3088"
"359",Raung,"2022",Indonesia,"3260"
"360",Baluran,,Indonesia,"1247"
"361",Ijen,"1999",Indonesia,"2769"
"362",Buyan-Bratan,,Indonesia,"2244"
"363",Batur,"2000",Indonesia,"1711"
"364",Agung,"2019",Indonesia,"2997"
"365",Rinjani,"2016",Indonesia,"3726"
"366",Tambora,"1967",Indonesia,"2850"
"367",Sangeang Api,"2022",Indonesia,"1912"
"368","Sano, Wai",,Indonesia,"1319"
"369",Ranakah,"1991",Indonesia,"2288"
"370",Inierie,"-8050",Indonesia,"2245"
"371",Inielika,"2001",Indonesia,"1559"
"372",Ebulobo,"1969",Indonesia,"2096"
"373",Iya,"1969",Indonesia,"618"
"374",Kelimutu,"1968",Indonesia,"1639"
"375",Paluweh,"2013",Indonesia,"875"
"376",Egon,"2008",Indonesia,"1661"
"377",Lewotobi,"2024",Indonesia,"1703"
"378",Leroboleng,"2003",Indonesia,"1095"
"379",Iliboleng,"1993",Indonesia,"1659"
"380",Lewotolok,"2024",Indonesia,"1431"
"381",Ililabalekan,,Indonesia,"1018"
"382",Iliwerung,"2021",Indonesia,"583"
"383","Tara, Batu","2015",Indonesia,"633"
"384",Sirung,"2021",Indonesia,"1347"
"385",Wurlali,"1892",Indonesia,"868"
"386",Teon,"1904",Indonesia,"728"
"387",Nila,"1968",Indonesia,"781"
"388",Serua,"1921",Indonesia,"608"
"389",Manuk,,Indonesia,"257"
"390",Banda Api,"1988",Indonesia,"596"
"391",Colo,"1983",Indonesia,"404"
"392",Ambang,"2005",Indonesia,"1795"
"393",Soputan,"2020",Indonesia,"1785"
"394",Lokon-Empung,"2015",Indonesia,"1580"
"395",Mahawu,"1977",Indonesia,"1299"
"396",Klabat,,Indonesia,"1968"
"397",Tangkoko-Duasudara,"1880",Indonesia,"1334"
"398",Ruang,"2024",Indonesia,"725"
"399",Karangetang,"2023",Indonesia,"1797"
"400",Banua Wuhu,"1919",Indonesia,"-5"
"401",Awu,"2004",Indonesia,"1318"
"402",Tarakan,,Indonesia,"317"
"403",Dukono,"2024",Indonesia,"1273"
"404",Tobaru,,Indonesia,"1035"
"405",Ibu,"2024",Indonesia,"1325"
"406",Gamkonora,"2007",Indonesia,"1635"
"407",Jailolo,,Indonesia,"993"
"408",Hiri,,Indonesia,"630"
"409",Todoko-Ranu,,Indonesia,"979"
"410",Kie Matubu,"1210",Indonesia,"1713"
"411",Mare,,Indonesia,"308"
"412",Moti,,Indonesia,"927"
"413",Gamalama,"2018",Indonesia,"1714"
"414",Tigalalu,,Indonesia,"422"
"415",Amasing,,Indonesia,"1006"
"416",Bibinoi,,Indonesia,"932"
"417",Kie Besi,"1988",Indonesia,"1357"
"418",Melebingoy,"1641",Philippines,"1824"
"419",Balut,,Philippines,"840"
"420",Matutum,"1290",Philippines,"2262"
"421",Leonard Range,"80",Philippines,"1080"
"422",Apo,,Philippines,"2938"
"423",Makaturing,"1882",Philippines,"1818"
"424",Kalatungan,,Philippines,"2824"
"425",Ragang,"1916",Philippines,"2790"
"426",Malindang,,Philippines,"2404"
"427",Musuan,,Philippines,"610"
"428",Camiguin,"1953",Philippines,"1552"
"429",Kanlaon,"2024",Philippines,"2422"
"430",Cabalían,"1820",Philippines,"912"
"431",Biliran,"1939",Philippines,"1301"
"432",Bulusan,"2022",Philippines,"1535"
"433",Pocdol Mountains,,Philippines,"1102"
"434",Masaraga,,Philippines,"1294"
"435",Mayon,"2024",Philippines,"2462"
"436",Iriga,,Philippines,"1138"
"437",Isarog,"-3500",Philippines,"1966"
"438",Malindig,,Philippines,"1157"
"439",Banahaw,,Philippines,"2158"
"440",San Pablo Volcanic Field,"1350",Philippines,"1090"
"441",Taal,"2024",Philippines,"311"
"442",Pinatubo,"2021",Philippines,"1486"
"443",Patoc,,Philippines,"1865"
"444",Ambalatungan Group,,Philippines,"2329"
"445",Laguna Caldera,,Philippines,"743"
"446",Cagua,"1860",Philippines,"1133"
"447",Camiguin de Babuyanes,"1857",Philippines,"712"
"448",Didicas,"1978",Philippines,"228"
"449",Babuyan Claro,"1924",Philippines,"1064"
"450",Iraya,"1454",Philippines,"1009"
"451",Hainan Volcanic Field,"1933",China,"196"
"452",Ly Son Group,,Vietnam,"157"
"453","Cendres, Ile des","1923",Vietnam,"-20"
"454",Popa,"-6050",Burma (Myanmar),"1518"
"455",Tengchong,"-5750",China,"2865"
"456",Kueishantao,"1853",Taiwan,"361"
"457",Tatun Volcanic Group,"648",Taiwan,"1120"
"458",Submarine Volcano NNE of Iriomotejima,"1924",Japan,"-200"
"459",Yokoatejima,"1835",Japan,"495"
"460",Akusekijima,,Japan,"555"
"461",Io-Torishima,"1968",Japan,"212"
"462",Suwanosejima,"2024",Japan,"796"
"463",Kuchinoshima,"1190",Japan,"628"
"464",Nakanoshima,"1914",Japan,"979"
"465",Kuchinoerabujima,"2020",Japan,"657"
"466",Kikai,"2020",Japan,"704"
"467",Ata,"885",Japan,"924"
"468",Yonemaru-Sumiyoshiike,"-6200",Japan,"40"
"469",Aira,"2024",Japan,"1117"
"470",Fukue,"-400",Japan,"315"
"471",Kirishimayama,"2018",Japan,"1700"
"472",Unzendake,"1996",Japan,"1483"
"473",Asosan,"2021",Japan,"1592"
"474",Kujusan,"1996",Japan,"1791"
"475",Yufu-Tsurumi,"867",Japan,"1584"
"476",Abu,"-6850",Japan,"641"
"477",Sanbesan,"650",Japan,"1126"
"478",Izu-Tobu,"1989",Japan,"1406"
"479",Hakoneyama,"2015",Japan,"1438"
"480",Yokodake,"1200",Japan,"2480"
"481",Fujisan,"1708",Japan,"3776"
"482",Ontakesan,"2014",Japan,"3067"
"483",Hakusan,"1659",Japan,"2702"
"484",Norikuradake,"-50",Japan,"3026"
"485",Washiba-Kumonotaira,,Japan,"2924"
"486",Yakedake,"1995",Japan,"2455"
"487",Midagahara,"1839",Japan,"2621"
"488",Niigata-Yakeyama,"1998",Japan,"2400"
"489",Myokosan,"-750",Japan,"2454"
"490",Asamayama,"2019",Japan,"2568"
"491",Shiga,,Japan,"2041"
"492",Harunasan,"550",Japan,"1449"
"493",Kusatsu-Shiranesan,"2018",Japan,"2165"
"494",Hiuchigatake,"1544",Japan,"2356"
"495",Akagisan,,Japan,"1828"
"496",Nantaisan,"-9540",Japan,"2486"
"497",Omanago Group,"-3050",Japan,"2341"
"498",Takaharayama,"-4570",Japan,"1795"
"499",Nikko-Shiranesan,"1952",Japan,"2578"
"500",Numazawa,"-3400",Japan,"835"
"501",Nasudake,"1963",Japan,"1915"
"502",Bandaisan,"1888",Japan,"1816"
"503",Adatarayama,"1996",Japan,"1728"
"504",Azumayama,"1977",Japan,"1949"
"505",Hijiori,,Japan,"552"
"506",Zaozan [Zaosan],"1940",Japan,"1841"
"507",Naruko,"837",Japan,"470"
"508",Kurikomayama,"1950",Japan,"1627"
"509",Chokaisan,"1974",Japan,"2236"
