fid,Volcano_Name,Country,Elevation,Last_Eruption_Year
410,Kie Matubu,Indonesia,1713,1210
411,Mare,Indonesia,308,NA
412,Moti,Indonesia,927,NA
413,Gamalama,Indonesia,1714,2018
414,Tigalalu,Indonesia,422,NA
415,Amasing,Indonesia,1006,NA
416,Bibinoi,Indonesia,932,NA
417,Kie Besi,Indonesia,1357,1988
418,Melebingoy,Philippines,1824,1641
419,Balut,Philippines,840,NA
420,Matutum,Philippines,2262,1290
421,Leonard Range,Philippines,1080,80
422,Apo,Philippines,2938,NA
423,Makaturing,Philippines,1818,1882
424,Kalatungan,Philippines,2824,NA
425,Ragang,Philippines,2790,1916
426,Malindang,Philippines,2404,NA
427,Musuan,Philippines,610,NA
428,Camiguin,Philippines,1552,1953
429,Kanlaon,Philippines,2422,2024
430,Cabalían,Philippines,912,1820
431,Biliran,Philippines,1301,1939
432,Bulusan,Philippines,1535,2022
433,Pocdol Mountains,Philippines,1102,NA
434,Masaraga,Philippines,1294,NA
435,Mayon,Philippines,2462,2024
436,Iriga,Philippines,1138,NA
437,Isarog,Philippines,1966,-3500
438,Malindig,Philippines,1157,NA
439,Banahaw,Philippines,2158,NA
440,San Pablo Volcanic Field,Philippines,1090,1350
441,Taal,Philippines,311,2024
442,Pinatubo,Philippines,1486,2021
443,Patoc,Philippines,1865,NA
444,Ambalatungan Group,Philippines,2329,NA
445,Laguna Caldera,Philippines,743,NA
446,Cagua,Philippines,1133,1860
447,Camiguin de Babuyanes,Philippines,712,1857
448,Didicas,Philippines,228,1978
449,Babuyan Claro,Philippines,1064,1924
450,Iraya,Philippines,1009,1454
451,Hainan Volcanic Field,China,196,1933
452,Ly Son Group,Vietnam,157,NA
453,"Cendres, Ile des",Vietnam,-20,1923
454,Popa,Burma (Myanmar),1518,-6050
455,Tengchong,China,2865,-5750
456,Kueishantao,Taiwan,361,1853
457,Tatun Volcanic Group,Taiwan,1120,648
458,Submarine Volcano NNE of Iriomotejima,Japan,-200,1924
459,Yokoatejima,Japan,495,1835
460,Akusekijima,Japan,555,NA
461,Io-Torishima,Japan,212,1968
462,Suwanosejima,Japan,796,2024
463,Kuchinoshima,Japan,628,1190
464,Nakanoshima,Japan,979,1914
465,Kuchinoerabujima,Japan,657,2020
466,Kikai,Japan,704,2020
467,Ata,Japan,924,885
468,Yonemaru-Sumiyoshiike,Japan,40,-6200
469,Aira,Japan,1117,2024
470,Fukue,Japan,315,-400
471,Kirishimayama,Japan,1700,2018
472,Unzendake,Japan,1483,1996
473,Asosan,Japan,1592,2021
474,Kujusan,Japan,1791,1996
475,Yufu-Tsurumi,Japan,1584,867
476,Abu,Japan,641,-6850
477,Sanbesan,Japan,1126,650
478,Izu-Tobu,Japan,1406,1989
479,Hakoneyama,Japan,1438,2015
480,Yokodake,Japan,2480,1200
481,Fujisan,Japan,3776,1708
482,Ontakesan,Japan,3067,2014
483,Hakusan,Japan,2702,1659
484,Norikuradake,Japan,3026,-50
485,Washiba-Kumonotaira,Japan,2924,NA
486,Yakedake,Japan,2455,1995
487,Midagahara,Japan,2621,1839
488,Niigata-Yakeyama,Japan,2400,1998
489,Myokosan,Japan,2454,-750
490,Asamayama,Japan,2568,2019
491,Shiga,Japan,2041,NA
492,Harunasan,Japan,1449,550
493,Kusatsu-Shiranesan,Japan,2165,2018
494,Hiuchigatake,Japan,2356,1544
495,Akagisan,Japan,1828,NA
496,Nantaisan,Japan,2486,-9540
497,Omanago Group,Japan,2341,-3050
498,Takaharayama,Japan,1795,-4570
499,Nikko-Shiranesan,Japan,2578,1952
500,Numazawa,Japan,835,-3400
501,Nasudake,Japan,1915,1963
502,Bandaisan,Japan,1816,1888
503,Adatarayama,Japan,1728,1996
504,Azumayama,Japan,1949,1977
505,Hijiori,Japan,552,NA
506,Zaozan [Zaosan],Japan,1841,1940
507,Naruko,Japan,470,837
508,Kurikomayama,Japan,1627,1950
509,Chokaisan,Japan,2236,1974
510,Akita-Komagatake,Japan,1637,1971
511,Iwatesan,Japan,2038,1919
512,Hachimantai,Japan,1613,-5350
513,Megata,Japan,160,-2050
514,Akita-Yakeyama,Japan,1366,1997
515,Towada,Japan,1011,915
516,Iwakisan,Japan,1625,1863
517,Hakkodasan,Japan,1585,1550
518,Osorezan,Japan,878,1787
519,Toshima,Japan,508,-4550
520,Izu-Oshima,Japan,746,1990
521,Niijima,Japan,432,886
522,Kozushima,Japan,572,838
523,Mikurajima,Japan,851,-4100
524,Kurose Hole,Japan,-114,NA
525,Miyakejima,Japan,775,2010
526,Hachijojima,Japan,854,1606
527,Kita-Bayonnaise,Japan,-360,NA
528,Aogashima,Japan,423,1785
529,Myojinsho,Japan,11,1970
530,Sumisujima,Japan,136,1916
531,Sofugan,Japan,99,NA
532,Suiyo Seamount,Japan,-991,NA
533,Mokuyo Seamount,Japan,-933,NA
534,Doyo Seamount,Japan,-590,NA
535,Nishinoshima,Japan,100,2023
536,Kaikata Seamount,Japan,-165,NA
537,Izu-Torishima,Japan,394,2002
538,Kaitoku Seamount,Japan,-95,2023
539,Kita-Ioto,Japan,792,2022
540,Kita-Fukutokutai,Japan,-73,1954
541,Ioto,Japan,169,2024
542,Minami-Hiyoshi,Japan,-107,1975
543,Nikko,Japan,-392,NA
544,Fukujin,United States,-217,1974
545,Kasuga 1,United States,-598,1959
546,Kasuga 2,United States,-274,NA
547,NW Eifuku,United States,-1535,NA
548,Daikoku,United States,-323,NA
549,Fukutoku-Oka-no-Ba,Japan,-29,2021
550,Ahyi,United States,-75,2024
551,Supply Reef,United States,-8,NA
552,Maug Islands,United States,227,NA
553,Farallon de Pajaros,United States,337,1953
554,Asuncion,United States,857,1906
555,Agrigan,United States,965,1917
556,Pagan,United States,570,2021
557,Alamagan,United States,744,870
558,Zealandia Bank,United States,0,NA
559,Sarigan,United States,538,NA
560,Guguan,United States,287,1883
561,East Diamante,United States,-127,NA
562,Ruby,United States,174,2023
563,Anatahan,United States,790,2008
564,NW Rota-1,United States,-517,2010
565,Esmeralda Bank,United States,-74,NA
566,Forecast Seamount,United States,-1456,NA
567,Seamount X,United States,-1230,NA
568,Esan,Japan,618,1874
569,Oshima-Oshima,Japan,732,1790
570,Hokkaido-Komagatake,Japan,1131,2000
571,Niseko,Japan,1308,-4900
572,Yoteizan,Japan,1888,-1050
573,Kuttara,Japan,549,1820
574,Toya,Japan,733,2001
575,Rishirizan,Japan,1721,-5830
576,Shikotsu,Japan,1320,1981
577,Tokachidake,Japan,2077,2004
578,Maruyama,Japan,2013,1898
579,Taisetsuzan,Japan,2291,1739
580,Akan,Japan,1499,2008
581,Mashu,Japan,857,1080
582,Rausudake,Japan,1660,1800
583,Kussharo,Japan,574,1320
584,Shiretoko-Iozan,Japan,1562,1936
585,Tomariyama [Golovnin],Japan - administered by Russia,535,1848
586,Ruruidake [Smirnov],Japan - administered by Russia,1486,NA
587,Raususan [Mendeleev],Japan - administered by Russia,882,1880
588,Chachadake [Tiatia],Japan - administered by Russia,1822,1981
589,Moekeshiwan [Lvinaya Past],Japan - administered by Russia,528,-7480
590,Berutarubesan [Berutarube],Japan - administered by Russia,1221,NA
591,Etorofu-Atosanupuri [Atosanupuri],Japan - administered by Russia,1206,1932
592,Hitokappu Volcano Group [Bogatyr Ridge],Japan - administered by Russia,1610,NA
593,Unnamed,Japan - administered by Russia,-195,NA
